SubNum_deid;AgeYrs;GenderID;Condition;SameSexBoyHair;SameSexBoyBall;SameSexBoyDress;SameSexBoyDoll;OppSexGirlHair;OppSexGirlBall;OppSexGirlDress;OppSexGirlDoll;SameSexGirlHair;SameSexGirlBall;SameSexGirlDress;SameSexGirlDoll;OppSexBoyHair;OppSexBoyBall;OppSexBoyDress;OppSexBoyDoll
92020;6;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
92784;4;2;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0
95037;7;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
94466;6;2;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0
93981;7;2;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0
99738;7;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
99412;6;2;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1
90952;7;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
91513;6;2;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1
95123;9;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1
90789;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
90069;6;2;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0
97007;6;2;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
99835;9;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
92914;6;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0
99920;7;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0
96232;7;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1
90568;7;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
94932;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98659;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
96234;7;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
95803;7;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
97584;7;2;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0
95045;7;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1
92308;5;2;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0
99898;8;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1
92205;7;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
97404;4;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1
98934;10;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
97721;8;2;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0
91311;7;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98871;7;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
93615;6;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1
90527;4;2;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;1;1
98938;10;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
91899;5;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
93093;10;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1
98174;10;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
98291;6;2;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1
99218;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
98089;11;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
96007;4;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
96055;7;2;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1
95715;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
97356;7;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1
92733;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
96601;8;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
91499;10;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
95213;10;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
99424;9;2;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
95921;9;2;3;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0
98286;10;1;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
93944;6;2;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
94239;10;1;2;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0
90586;9;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0
92182;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96275;5;1;2;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1
94355;9;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
95850;10;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0
98567;10;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1
99907;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
91940;10;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0
